category,input_text,target_text
Grammar,gec: She has responsible for managing the client feedback. Candidate article rule work local so position minute most,She was responsible for managing the client feedback. Candidate article rule work local so position minute most
Grammar,gec: Send an report by evening. Worker race car site,Send the report by evening. Worker race car site
Grammar,gec: and we says that these countries gonna be the next developed countries .,And we say that these countries are going to be the next developed countries .
Grammar,gec: So the governments and the scientists are also promoting the less use of private cars as they are one of the greatest attributers to the air pollution .,So governments and scientists are also promoting less use of private cars because they are one of the greatest attributers to air pollution .
Grammar,gec: I discussed the changes with the team yesterday. Ahead to western every director left care,I discussed the changes with the team yesterday. Ahead to western every director left care
Grammar,gec: But there still have a lot of people did not successful yet .,But there are still a lot of people who are not successful yet .
Grammar,"gec: However , I want to go to the U.S.A that I can study and life in my dream 's contury , I want to have my famliy that I never not alony .","However , I want to go to the U.S.A so that I can study and live in the country of my dreams ; I want to have a family so that I never have to be alone ."
Grammar,gec: We conducted the survey last month. Finish late worker what ten it family,We conducted a survey last month. Finish late worker what ten it family
Grammar,gec: The project has delayed due to unforeseen issues. Through often administration could carry family prove charge,The project was delayed due to unforeseen issues. Through often administration could carry family prove charge
Grammar,gec: You should review the final draft before submission. Result year help defense control culture,You should review the final draft before submission. Result year help defense control culture
