Category,input_text,target_text
general,gec: She has responsible for managing the client feedback. Candidate article rule work local so position minute most,She was responsible for managing the client feedback. Candidate article rule work local so position minute most
general,gec: Send an report by evening. Worker race car site,Send the report by evening. Worker race car site
general,gec: and we says that these countries gonna be the next developed countries .,And we say that these countries are going to be the next developed countries .
general,gec: So the governments and the scientists are also promoting the less use of private cars as they are one of the greatest attributers to the air pollution .,So governments and scientists are also promoting less use of private cars because they are one of the greatest attributers to air pollution .
general,gec: I discussed the changes with the team yesterday. Ahead to western every director left care,I discussed the changes with the team yesterday. Ahead to western every director left care
general,gec: But there still have a lot of people did not successful yet .,But there are still a lot of people who are not successful yet .
general,"gec: However , I want to go to the U.S.A that I can study and life in my dream 's contury , I want to have my famliy that I never not alony .","However , I want to go to the U.S.A so that I can study and live in the country of my dreams ; I want to have a family so that I never have to be alone ."
general,gec: We conducted the survey last month. Finish late worker what ten it family,We conducted a survey last month. Finish late worker what ten it family
general,gec: The project has delayed due to unforeseen issues. Through often administration could carry family prove charge,The project was delayed due to unforeseen issues. Through often administration could carry family prove charge
general,gec: You should review the final draft before submission. Result year help defense control culture,You should review the final draft before submission. Result year help defense control culture
Grammar,She don't like go to school on Mondays. (sample 1),She doesn't like going to school on Mondays. (sample 1)
Grammar,She don't like go to school on Mondays. (sample 2),She doesn't like going to school on Mondays. (sample 2)
Grammar,She don't like go to school on Mondays. (sample 3),She doesn't like going to school on Mondays. (sample 3)
Grammar,She don't like go to school on Mondays. (sample 4),She doesn't like going to school on Mondays. (sample 4)
Grammar,She don't like go to school on Mondays. (sample 5),She doesn't like going to school on Mondays. (sample 5)
Grammar,She don't like go to school on Mondays. (sample 6),She doesn't like going to school on Mondays. (sample 6)
Grammar,She don't like go to school on Mondays. (sample 7),She doesn't like going to school on Mondays. (sample 7)
Grammar,She don't like go to school on Mondays. (sample 8),She doesn't like going to school on Mondays. (sample 8)
Grammar,She don't like go to school on Mondays. (sample 9),She doesn't like going to school on Mondays. (sample 9)
Grammar,She don't like go to school on Mondays. (sample 10),She doesn't like going to school on Mondays. (sample 10)
