Category,input_text,target_text
Grammar,She don't like go to school on Mondays. (sample 1),She doesn't like going to school on Mondays. (sample 1)
Grammar,She don't like go to school on Mondays. (sample 2),She doesn't like going to school on Mondays. (sample 2)
Grammar,She don't like go to school on Mondays. (sample 3),She doesn't like going to school on Mondays. (sample 3)
Grammar,She don't like go to school on Mondays. (sample 4),She doesn't like going to school on Mondays. (sample 4)
Grammar,She don't like go to school on Mondays. (sample 5),She doesn't like going to school on Mondays. (sample 5)
Grammar,She don't like go to school on Mondays. (sample 6),She doesn't like going to school on Mondays. (sample 6)
Grammar,She don't like go to school on Mondays. (sample 7),She doesn't like going to school on Mondays. (sample 7)
Grammar,She don't like go to school on Mondays. (sample 8),She doesn't like going to school on Mondays. (sample 8)
Grammar,She don't like go to school on Mondays. (sample 9),She doesn't like going to school on Mondays. (sample 9)
Grammar,She don't like go to school on Mondays. (sample 10),She doesn't like going to school on Mondays. (sample 10)
Grammar,She don't like go to school on Mondays. (sample 11),She doesn't like going to school on Mondays. (sample 11)
Grammar,She don't like go to school on Mondays. (sample 12),She doesn't like going to school on Mondays. (sample 12)
Grammar,She don't like go to school on Mondays. (sample 13),She doesn't like going to school on Mondays. (sample 13)
Grammar,She don't like go to school on Mondays. (sample 14),She doesn't like going to school on Mondays. (sample 14)
Grammar,She don't like go to school on Mondays. (sample 15),She doesn't like going to school on Mondays. (sample 15)
Grammar,She don't like go to school on Mondays. (sample 16),She doesn't like going to school on Mondays. (sample 16)
Grammar,She don't like go to school on Mondays. (sample 17),She doesn't like going to school on Mondays. (sample 17)
Grammar,She don't like go to school on Mondays. (sample 18),She doesn't like going to school on Mondays. (sample 18)
Grammar,She don't like go to school on Mondays. (sample 19),She doesn't like going to school on Mondays. (sample 19)
Grammar,She don't like go to school on Mondays. (sample 20),She doesn't like going to school on Mondays. (sample 20)
Grammar,She don't like go to school on Mondays. (sample 21),She doesn't like going to school on Mondays. (sample 21)
Grammar,She don't like go to school on Mondays. (sample 22),She doesn't like going to school on Mondays. (sample 22)
Grammar,She don't like go to school on Mondays. (sample 23),She doesn't like going to school on Mondays. (sample 23)
Grammar,She don't like go to school on Mondays. (sample 24),She doesn't like going to school on Mondays. (sample 24)
Grammar,She don't like go to school on Mondays. (sample 25),She doesn't like going to school on Mondays. (sample 25)
Grammar,She don't like go to school on Mondays. (sample 26),She doesn't like going to school on Mondays. (sample 26)
Grammar,She don't like go to school on Mondays. (sample 27),She doesn't like going to school on Mondays. (sample 27)
Grammar,She don't like go to school on Mondays. (sample 28),She doesn't like going to school on Mondays. (sample 28)
Grammar,She don't like go to school on Mondays. (sample 29),She doesn't like going to school on Mondays. (sample 29)
Grammar,She don't like go to school on Mondays. (sample 30),She doesn't like going to school on Mondays. (sample 30)
Grammar,She don't like go to school on Mondays. (sample 31),She doesn't like going to school on Mondays. (sample 31)
Grammar,She don't like go to school on Mondays. (sample 32),She doesn't like going to school on Mondays. (sample 32)
Grammar,She don't like go to school on Mondays. (sample 33),She doesn't like going to school on Mondays. (sample 33)
Grammar,She don't like go to school on Mondays. (sample 34),She doesn't like going to school on Mondays. (sample 34)
Grammar,She don't like go to school on Mondays. (sample 35),She doesn't like going to school on Mondays. (sample 35)
Grammar,She don't like go to school on Mondays. (sample 36),She doesn't like going to school on Mondays. (sample 36)
Grammar,She don't like go to school on Mondays. (sample 37),She doesn't like going to school on Mondays. (sample 37)
Grammar,She don't like go to school on Mondays. (sample 38),She doesn't like going to school on Mondays. (sample 38)
Grammar,She don't like go to school on Mondays. (sample 39),She doesn't like going to school on Mondays. (sample 39)
Grammar,She don't like go to school on Mondays. (sample 40),She doesn't like going to school on Mondays. (sample 40)
Grammar,She don't like go to school on Mondays. (sample 41),She doesn't like going to school on Mondays. (sample 41)
Grammar,She don't like go to school on Mondays. (sample 42),She doesn't like going to school on Mondays. (sample 42)
Grammar,She don't like go to school on Mondays. (sample 43),She doesn't like going to school on Mondays. (sample 43)
Grammar,She don't like go to school on Mondays. (sample 44),She doesn't like going to school on Mondays. (sample 44)
Grammar,She don't like go to school on Mondays. (sample 45),She doesn't like going to school on Mondays. (sample 45)
Grammar,She don't like go to school on Mondays. (sample 46),She doesn't like going to school on Mondays. (sample 46)
Grammar,She don't like go to school on Mondays. (sample 47),She doesn't like going to school on Mondays. (sample 47)
Grammar,She don't like go to school on Mondays. (sample 48),She doesn't like going to school on Mondays. (sample 48)
Grammar,She don't like go to school on Mondays. (sample 49),She doesn't like going to school on Mondays. (sample 49)
Grammar,She don't like go to school on Mondays. (sample 50),She doesn't like going to school on Mondays. (sample 50)
Grammar,She don't like go to school on Mondays. (sample 51),She doesn't like going to school on Mondays. (sample 51)
Grammar,She don't like go to school on Mondays. (sample 52),She doesn't like going to school on Mondays. (sample 52)
Grammar,She don't like go to school on Mondays. (sample 53),She doesn't like going to school on Mondays. (sample 53)
Grammar,She don't like go to school on Mondays. (sample 54),She doesn't like going to school on Mondays. (sample 54)
Grammar,She don't like go to school on Mondays. (sample 55),She doesn't like going to school on Mondays. (sample 55)
Grammar,She don't like go to school on Mondays. (sample 56),She doesn't like going to school on Mondays. (sample 56)
